County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
DeKalb County,Illinois,17,037,19.5
De Witt County,Illinois,17,039,7.6
Douglas County,Illinois,17,041,8.4
DuPage County,Illinois,17,043,9.3
Edgar County,Illinois,17,045,7.4
Edwards County,Illinois,17,047,8.2
Effingham County,Illinois,17,049,9.3
Fayette County,Illinois,17,051,10.3
Ford County,Illinois,17,053,7.8
Franklin County,Illinois,17,055,7.9
Fulton County,Illinois,17,057,9.1
Gallatin County,Illinois,17,059,7.3
Greene County,Illinois,17,061,8.5
Grundy County,Illinois,17,063,8.4
Hamilton County,Illinois,17,065,7.9
Hancock County,Illinois,17,067,7.4
Hardin County,Illinois,17,069,6.3
Henderson County,Illinois,17,071,7.1
Henry County,Illinois,17,073,8.4
Iroquois County,Illinois,17,075,8.0
Jackson County,Illinois,17,077,23.2
Jasper County,Illinois,17,079,6.8
Jefferson County,Illinois,17,081,9.1
Jersey County,Illinois,17,083,10.0
Jo Daviess County,Illinois,17,085,7.0
Johnson County,Illinois,17,087,11.1
Kane County,Illinois,17,089,9.2
Kankakee County,Illinois,17,091,10.8
Kendall County,Illinois,17,093,7.6
Knox County,Illinois,17,095,10.6
Lake County,Illinois,17,097,11.1
LaSalle County,Illinois,17,099,9.0
Lawrence County,Illinois,17,101,9.0
Lee County,Illinois,17,103,8.7
Livingston County,Illinois,17,105,8.5
Logan County,Illinois,17,107,11.9
McDonough County,Illinois,17,109,26.4
McHenry County,Illinois,17,111,8.9
McLean County,Illinois,17,113,17.3
Macon County,Illinois,17,115,9.5
Macoupin County,Illinois,17,117,8.2
Madison County,Illinois,17,119,9.0
Marion County,Illinois,17,121,8.5
Marshall County,Illinois,17,123,8.3
Mason County,Illinois,17,125,7.8
Massac County,Illinois,17,127,7.9
Menard County,Illinois,17,129,7.9
Mercer County,Illinois,17,131,7.4
Monroe County,Illinois,17,133,7.5
Montgomery County,Illinois,17,135,9.5
Morgan County,Illinois,17,137,12.1
Moultrie County,Illinois,17,139,7.9
Ogle County,Illinois,17,141,8.3
Peoria County,Illinois,17,143,9.7
Perry County,Illinois,17,145,11.4
Piatt County,Illinois,17,147,7.7
Pike County,Illinois,17,149,8.9
Pope County,Illinois,17,151,8.7
Pulaski County,Illinois,17,153,7.8
Putnam County,Illinois,17,155,7.3
Randolph County,Illinois,17,157,8.9
Richland County,Illinois,17,159,8.6
Rock Island County,Illinois,17,161,9.2
Saint Clair County,Illinois,17,163,9.6
Saline County,Illinois,17,165,9.3
Sangamon County,Illinois,17,167,8.8
Schuyler County,Illinois,17,169,6.4
Scott County,Illinois,17,171,7.5
Shelby County,Illinois,17,173,7.7
Stark County,Illinois,17,175,7.6
Stephenson County,Illinois,17,177,8.4
Tazewell County,Illinois,17,179,7.7
Union County,Illinois,17,181,7.6
Vermilion County,Illinois,17,183,8.5
Wabash County,Illinois,17,185,9.9
Warren County,Illinois,17,187,12.6
Washington County,Illinois,17,189,7.6
Wayne County,Illinois,17,191,7.9
White County,Illinois,17,193,6.9
Whiteside County,Illinois,17,195,8.2
Will County,Illinois,17,197,9.5
Williamson County,Illinois,17,199,8.3
Winnebago County,Illinois,17,201,8.8
Woodford County,Illinois,17,203,9.0
Adams County,Indiana,18,001,8.8
Allen County,Indiana,18,003,9.6
Bartholomew County,Indiana,18,005,8.9
Benton County,Indiana,18,007,8.6
Blackford County,Indiana,18,009,8.1
Boone County,Indiana,18,011,7.6
Brown County,Indiana,18,013,6.7
Carroll County,Indiana,18,015,8.2
Cass County,Indiana,18,017,9.5
Clark County,Indiana,18,019,8.3
Clay County,Indiana,18,021,8.2
Clinton County,Indiana,18,023,8.5
Crawford County,Indiana,18,025,7.4
Daviess County,Indiana,18,027,9.6
Dearborn County,Indiana,18,029,8.8
Decatur County,Indiana,18,031,8.1
DeKalb County,Indiana,18,033,8.6
Delaware County,Indiana,18,035,19.7
Dubois County,Indiana,18,037,8.2
Elkhart County,Indiana,18,039,9.3
Fayette County,Indiana,18,041,8.5
Floyd County,Indiana,18,043,9.3
Fountain County,Indiana,18,045,8.6
Franklin County,Indiana,18,047,8.2
Fulton County,Indiana,18,049,7.7
Gibson County,Indiana,18,051,8.7
Grant County,Indiana,18,053,13.2
Greene County,Indiana,18,055,8.3
Hamilton County,Indiana,18,057,7.4
Hancock County,Indiana,18,059,8.4
Harrison County,Indiana,18,061,7.8
Hendricks County,Indiana,18,063,8.9
