County,State,State_FIPS,County_FIPS,bachelors_degree
Henry County,Illinois,17,073,4548.0
Iroquois County,Illinois,17,075,2048.0
Jackson County,Illinois,17,077,6345.0
Jasper County,Illinois,17,079,767.0
Jefferson County,Illinois,17,081,2733.0
Jersey County,Illinois,17,083,1530.0
Jo Daviess County,Illinois,17,085,2541.0
Johnson County,Illinois,17,087,1050.0
Kane County,Illinois,17,089,67909.0
Kankakee County,Illinois,17,091,7800.0
Kendall County,Illinois,17,093,16402.0
Knox County,Illinois,17,095,4178.0
Lake County,Illinois,17,097,114622.0
LaSalle County,Illinois,17,099,8600.0
Lawrence County,Illinois,17,101,857.0
Lee County,Illinois,17,103,2735.0
Livingston County,Illinois,17,105,2703.0
Logan County,Illinois,17,107,2414.0
McDonough County,Illinois,17,109,3345.0
McHenry County,Illinois,17,111,44190.0
McLean County,Illinois,17,113,30741.0
Macon County,Illinois,17,115,11201.0
Macoupin County,Illinois,17,117,3744.0
Madison County,Illinois,17,119,29090.0
Marion County,Illinois,17,121,2502.0
Marshall County,Illinois,17,123,1170.0
Mason County,Illinois,17,125,920.0
Massac County,Illinois,17,127,1253.0
Menard County,Illinois,17,129,1388.0
Mercer County,Illinois,17,131,1156.0
Monroe County,Illinois,17,133,4199.0
Montgomery County,Illinois,17,135,1636.0
Morgan County,Illinois,17,137,3263.0
Moultrie County,Illinois,17,139,1075.0
Ogle County,Illinois,17,141,4567.0
Peoria County,Illinois,17,143,22943.0
Perry County,Illinois,17,145,1408.0
Piatt County,Illinois,17,147,1988.0
Pike County,Illinois,17,149,1265.0
Pope County,Illinois,17,151,280.0
Pulaski County,Illinois,17,153,322.0
Putnam County,Illinois,17,155,384.0
Randolph County,Illinois,17,157,2148.0
Richland County,Illinois,17,159,1752.0
Rock Island County,Illinois,17,161,14496.0
Saint Clair County,Illinois,17,163,28192.0
Saline County,Illinois,17,165,1614.0
Sangamon County,Illinois,17,167,28084.0
Schuyler County,Illinois,17,169,702.0
Scott County,Illinois,17,171,342.0
Shelby County,Illinois,17,173,1571.0
Stark County,Illinois,17,175,552.0
Stephenson County,Illinois,17,177,3838.0
Tazewell County,Illinois,17,179,16426.0
Union County,Illinois,17,181,1586.0
Vermilion County,Illinois,17,183,5152.0
Wabash County,Illinois,17,185,1029.0
Warren County,Illinois,17,187,1646.0
Washington County,Illinois,17,189,1432.0
Wayne County,Illinois,17,191,1056.0
White County,Illinois,17,193,846.0
Whiteside County,Illinois,17,195,4199.0
Will County,Illinois,17,197,90344.0
Williamson County,Illinois,17,199,6197.0
Winnebago County,Illinois,17,201,26927.0
Woodford County,Illinois,17,203,4920.0
Adams County,Indiana,18,001,1982.0
Allen County,Indiana,18,003,40197.0
Bartholomew County,Indiana,18,005,9105.0
Benton County,Indiana,18,007,673.0
Blackford County,Indiana,18,009,619.0
Boone County,Indiana,18,011,9755.0
Brown County,Indiana,18,013,1154.0
Carroll County,Indiana,18,015,1540.0
