County,State,State_FIPS,County_FIPS,health_insurance_rate
Edwards County,Illinois,17,047,9.3
Effingham County,Illinois,17,049,8.6
Fayette County,Illinois,17,051,12.2
Ford County,Illinois,17,053,8.2
Franklin County,Illinois,17,055,13.8
Fulton County,Illinois,17,057,9.4
Gallatin County,Illinois,17,059,14.1
Greene County,Illinois,17,061,10.3
Grundy County,Illinois,17,063,8.6
Hamilton County,Illinois,17,065,11.4
Hancock County,Illinois,17,067,9.3
Hardin County,Illinois,17,069,9.5
Henderson County,Illinois,17,071,8.8
Henry County,Illinois,17,073,8.5
Iroquois County,Illinois,17,075,8.7
Jackson County,Illinois,17,077,11.1
Jasper County,Illinois,17,079,9.9
Jefferson County,Illinois,17,081,12.4
Jersey County,Illinois,17,083,10.7
Jo Daviess County,Illinois,17,085,7.7
Johnson County,Illinois,17,087,10.7
Kane County,Illinois,17,089,13.3
Kankakee County,Illinois,17,091,12.3
Kendall County,Illinois,17,093,7.8
Knox County,Illinois,17,095,11.0
Lake County,Illinois,17,097,11.2
LaSalle County,Illinois,17,099,10.4
Lawrence County,Illinois,17,101,12.1
Lee County,Illinois,17,103,11.2
Livingston County,Illinois,17,105,7.6
Logan County,Illinois,17,107,8.6
McDonough County,Illinois,17,109,9.4
McHenry County,Illinois,17,111,9.0
McLean County,Illinois,17,113,7.4
Macon County,Illinois,17,115,12.1
Macoupin County,Illinois,17,117,10.8
Madison County,Illinois,17,119,9.5
Marion County,Illinois,17,121,11.5
Marshall County,Illinois,17,123,9.3
Mason County,Illinois,17,125,12.7
Massac County,Illinois,17,127,13.7
Menard County,Illinois,17,129,7.4
Mercer County,Illinois,17,131,7.5
Monroe County,Illinois,17,133,5.9
Montgomery County,Illinois,17,135,7.3
Morgan County,Illinois,17,137,9.2
Moultrie County,Illinois,17,139,11.5
Ogle County,Illinois,17,141,8.8
Peoria County,Illinois,17,143,10.7
Perry County,Illinois,17,145,12.2
Piatt County,Illinois,17,147,7.9
Pike County,Illinois,17,149,12.4
Pope County,Illinois,17,151,9.1
Pulaski County,Illinois,17,153,13.5
Putnam County,Illinois,17,155,9.9
Randolph County,Illinois,17,157,9.4
Richland County,Illinois,17,159,12.2
Rock Island County,Illinois,17,161,10.5
Saint Clair County,Illinois,17,163,11.4
Saline County,Illinois,17,165,11.5
Sangamon County,Illinois,17,167,9.6
Schuyler County,Illinois,17,169,11.3
Scott County,Illinois,17,171,8.5
Shelby County,Illinois,17,173,8.9
Stark County,Illinois,17,175,9.4
Stephenson County,Illinois,17,177,10.5
Tazewell County,Illinois,17,179,8.2
Union County,Illinois,17,181,11.9
Vermilion County,Illinois,17,183,12.0
Wabash County,Illinois,17,185,10.3
Warren County,Illinois,17,187,12.5
Washington County,Illinois,17,189,8.2
Wayne County,Illinois,17,191,11.7
White County,Illinois,17,193,12.3
Whiteside County,Illinois,17,195,11.6
Will County,Illinois,17,197,9.5
Williamson County,Illinois,17,199,11.8
Winnebago County,Illinois,17,201,12.9
Woodford County,Illinois,17,203,6.5
Adams County,Indiana,18,001,24.7
Allen County,Indiana,18,003,14.4
Bartholomew County,Indiana,18,005,12.8
Benton County,Indiana,18,007,14.8
Blackford County,Indiana,18,009,14.6
Boone County,Indiana,18,011,8.4
Brown County,Indiana,18,013,14.9
Carroll County,Indiana,18,015,13.5
Cass County,Indiana,18,017,17.5
Clark County,Indiana,18,019,14.1
Clay County,Indiana,18,021,13.6
Clinton County,Indiana,18,023,15.9
Crawford County,Indiana,18,025,14.0
Daviess County,Indiana,18,027,22.6
