County,State,State_FIPS,County_FIPS,median_home_value
Marion County,Illinois,17,121,68500.0
Marshall County,Illinois,17,123,103200.0
Mason County,Illinois,17,125,80800.0
Massac County,Illinois,17,127,83200.0
Menard County,Illinois,17,129,119900.0
Mercer County,Illinois,17,131,93700.0
Monroe County,Illinois,17,133,192400.0
Montgomery County,Illinois,17,135,81100.0
Morgan County,Illinois,17,137,94600.0
Moultrie County,Illinois,17,139,96700.0
Ogle County,Illinois,17,141,143600.0
Peoria County,Illinois,17,143,124700.0
Perry County,Illinois,17,145,77100.0
Piatt County,Illinois,17,147,118700.0
Pike County,Illinois,17,149,72700.0
Pope County,Illinois,17,151,107600.0
Pulaski County,Illinois,17,153,56200.0
Putnam County,Illinois,17,155,123800.0
Randolph County,Illinois,17,157,93600.0
Richland County,Illinois,17,159,79300.0
Rock Island County,Illinois,17,161,113200.0
Saint Clair County,Illinois,17,163,121300.0
Saline County,Illinois,17,165,71100.0
Sangamon County,Illinois,17,167,127500.0
Schuyler County,Illinois,17,169,78700.0
Scott County,Illinois,17,171,83300.0
Shelby County,Illinois,17,173,86100.0
Stark County,Illinois,17,175,87800.0
Stephenson County,Illinois,17,177,100300.0
Tazewell County,Illinois,17,179,133300.0
Union County,Illinois,17,181,88400.0
Vermilion County,Illinois,17,183,75200.0
Wabash County,Illinois,17,185,82400.0
Warren County,Illinois,17,187,82000.0
Washington County,Illinois,17,189,107500.0
Wayne County,Illinois,17,191,76800.0
White County,Illinois,17,193,71700.0
Whiteside County,Illinois,17,195,99200.0
Will County,Illinois,17,197,212700.0
